"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
1,25.76,25.76,0,850.5,0.97,0.8505,999,3930,-8.14
1,25.76,25.76,0,855.5,0.94,0.8555,999,3931,-8.14
3,48.37,56.21,7.74,188,-1.01,0.188,999,3932,-3.54
6,96.44,91.54,11.95,636,0.41,0.636,999,3933,17.51
1,25.76,25.76,0,927.5,1.59,0.9275,999,3937,-8.14
9,123.12,120.81,13.17,582,0.18,0.582,999,3938,17.17
5,88.51,80.46,10.33,773,0.78,0.773,999,3948,18.59
2,37.35,42.03,5.61,159,-0.84,0.159,999,3949,-5.56
2,48.16,42.08,5.74,930,1.06,0.93,999,3968,5.26
2,48.16,42.21,5.59,899,1.06,0.899,999,3973,5.26
2,48.16,42.21,5.59,899,1.06,0.899,999,3974,5.26
6,78.07,91.65,11.37,123,-1.19,0.123,999,3975,-0.86
0,0,0,0,500.5,NA,0.5005,999,3976,-24.89
0,0,0,0,500.5,NA,0.5005,999,3977,-24.89
1,25.76,25.76,0,920.5,1.54,0.9205,999,3980,-8.14
1,25.76,25.76,0,746,0.62,0.746,999,3981,-8.14
1,25.76,25.76,0,927.5,1.59,0.9275,999,3986,-8.14
3,55.3,56.17,7.84,468,-0.11,0.468,999,3989,3.39
3,63.1,55.85,7.89,858,0.92,0.858,999,3990,11.19
4,73.71,68.41,9.19,700,0.58,0.7,999,3991,12.79
1,25.76,25.76,0,850.5,0.97,0.8505,999,4016,-8.14
2,48.16,42,5.58,792,1.1,0.792,999,4017,5.26
4,69.44,68.68,9.19,515,0.08,0.515,999,4018,8.52
0,0,0,0,500.5,NA,0.5005,999,4019,-24.89
6,82.04,91.09,11.31,205,-0.8,0.205,999,4022,3.11
3,52.18,56.19,8.09,285,-0.5,0.285,999,4023,0.27
4,57.11,68.72,9.51,129,-1.22,0.129,999,4024,-3.81
7,102.46,101.73,12.44,548,0.06,0.548,999,4025,14.52
1,25.76,25.76,0,920.5,1.54,0.9205,999,4026,-8.14
3,66.2,56.03,7.83,908,1.3,0.908,999,4032,14.29
4,80.25,68.49,8.87,902,1.33,0.902,999,4033,19.33
2,40.44,42.07,5.7,290,-0.29,0.29,999,4034,-2.46
2,31.11,42.19,5.44,40.5,-2.03,0.0405,999,4059,-11.79
2,48.16,41.88,5.52,912.5,1.14,0.9125,999,4060,5.26
3,44.98,56.41,7.84,94,-1.46,0.094,999,4061,-6.93
0,0,0,0,500.5,NA,0.5005,999,4064,-24.89
3,52.18,56.19,8.09,285,-0.5,0.285,999,4066,0.27
2,26.42,42.16,5.89,4,-2.67,0.004,999,4070,-16.49
2,51.52,42.13,5.82,978,1.61,0.978,999,4074,8.61
2,40.44,41.87,5.62,267,-0.25,0.267,999,4075,-2.46
6,81.5,91.68,11.38,185,-0.89,0.185,999,4076,2.57
2,31.11,42.19,5.44,40.5,-2.03,0.0405,999,4101,-11.79
1,25.76,25.76,0,188.5,-0.88,0.1885,999,4102,-8.14
8,96.94,111.76,13.47,150,-1.1,0.15,999,4103,-0.01
0,0,0,0,500.5,NA,0.5005,999,4104,-24.89
2,26.42,42.16,5.89,4,-2.67,0.004,999,4107,-16.49
1,25.76,25.76,0,920.5,1.54,0.9205,999,4108,-8.14
1,25.76,25.76,0,746,0.62,0.746,999,4114,-8.14
2,37.35,42.03,5.61,159,-0.84,0.159,999,4115,-5.56
2,51.52,41.89,5.7,990,1.69,0.99,999,4118,8.61
1,25.76,25.76,0,693,0.34,0.693,999,4143,-8.14
0,0,0,0,500.5,NA,0.5005,999,4144,-24.89
4,52.88,68.5,9.41,50,-1.66,0.05,999,4146,-8.04
0,0,0,0,500.5,NA,0.5005,999,4147,-24.89
0,0,0,0,500.5,NA,0.5005,999,4148,-24.89
3,63.1,56.07,7.46,848,0.94,0.848,999,4152,11.19
1,25.76,25.76,0,927.5,1.59,0.9275,999,4153,-8.14
2,51.52,42.34,5.55,971,1.65,0.971,999,4154,8.61
2,30.69,42.12,5.77,57,-1.98,0.057,999,4155,-12.21
1,25.76,25.76,0,109.5,-1.09,0.1095,999,4156,-8.14
2,40.44,42.05,5.58,281,-0.29,0.281,999,4157,-2.46
1,25.76,25.76,0,109.5,-1.09,0.1095,999,4158,-8.14
2,51.52,42.1,5.54,961,1.7,0.961,999,4159,8.61
2,43.16,42.07,5.6,550,0.2,0.55,999,4160,0.26
1,25.76,25.76,0,198.5,-0.72,0.1985,999,4161,-8.14
1,25.76,25.76,0,693,0.34,0.693,999,4183,-8.14
1,25.76,25.76,0,693,0.34,0.693,999,4184,-8.14
1,25.76,25.76,0,47.5,-1.53,0.0475,999,4187,-8.14
4,63.22,69.06,9.14,258,-0.64,0.258,999,4188,2.31
1,25.76,25.76,0,850.5,0.97,0.8505,999,4189,-8.14
3,42.15,56.17,7.51,38,-1.87,0.038,999,4190,-9.76
0,0,0,0,500.5,NA,0.5005,999,4193,-24.89
2,51.52,42.34,5.55,971,1.65,0.971,999,4196,8.61
2,36.62,41.99,5.42,134,-0.99,0.134,999,4197,-6.28
5,85.3,80.01,10.41,690,0.51,0.69,999,4199,15.37
8,128.7,111.07,13.2,913,1.34,0.913,999,4200,31.76
1,25.76,25.76,0,109.5,-1.09,0.1095,999,4201,-8.14
2,51.52,42,5.56,956.5,1.71,0.9565,999,4202,8.61
2,48.16,41.88,5.52,912.5,1.14,0.9125,999,4227,5.26
1,25.76,25.76,0,693,0.34,0.693,999,4228,-8.14
1,25.76,25.76,0,24,-1.71,0.024,999,4229,-8.14
6,66.71,91.11,11.86,26,-2.06,0.026,999,4232,-12.22
12,168.6,146.98,14.99,913,1.44,0.913,999,4239,35.64
0,0,0,0,500.5,NA,0.5005,999,4240,-24.89
7,116.86,101.88,11.79,904,1.27,0.904,999,4242,28.92
2,40.44,42.05,5.58,281,-0.29,0.281,999,4243,-2.46
2,30.69,42.34,5.64,47,-2.07,0.047,999,4244,-12.21
1,25.76,25.76,0,24,-1.71,0.024,999,4264,-8.14
1,25.76,25.76,0,102.5,-1.09,0.1025,999,4265,-8.14
1,25.76,25.76,0,24,-1.71,0.024,999,4269,-8.14
2,31.11,42.19,5.44,40.5,-2.03,0.0405,999,4270,-11.79
2,31.11,42.19,5.44,40.5,-2.03,0.0405,999,4271,-11.79
1,25.76,25.76,0,226,-0.63,0.226,999,4273,-8.14
1,25.76,25.76,0,84.5,-1.28,0.0845,999,4274,-8.14
4,43.79,68.52,9.42,7,-2.62,0.007,999,4275,-17.12
1,25.76,25.76,0,12.5,-1.75,0.0125,999,4276,-8.14
1,25.76,25.76,0,920.5,1.54,0.9205,999,4279,-8.14
6,104.97,91.7,11.3,879,1.17,0.879,999,4281,26.04
5,88.54,80.41,10.55,781,0.77,0.781,999,4282,18.61
5,72.88,80.32,10.54,246,-0.71,0.246,999,4285,2.96
1,25.76,25.76,0,746,0.62,0.746,999,4286,-8.14
2,51.52,42,5.56,956.5,1.71,0.9565,999,4287,8.61
0,0,0,0,500.5,NA,0.5005,999,4304,-24.89
0,0,0,0,500.5,NA,0.5005,999,4306,-24.89
1,25.76,25.76,0,24,-1.71,0.024,999,4307,-8.14
0,0,0,0,500.5,NA,0.5005,999,4308,-24.89
1,25.76,25.76,0,24,-1.71,0.024,999,4309,-8.14
2,40.44,42.13,5.73,385,-0.29,0.385,999,4311,-2.46
1,25.76,25.76,0,693,0.34,0.693,999,4312,-8.14
1,25.76,25.76,0,693,0.34,0.693,999,4313,-8.14
6,77.25,91.61,11.74,106,-1.22,0.106,999,4315,-1.68
4,56.71,69.37,9.21,98,-1.37,0.098,999,4317,-4.2
2,51.52,42.08,5.55,962,1.7,0.962,999,4323,8.61
7,118.11,101.8,12.08,903,1.35,0.903,999,4324,30.17
3,56.45,56.21,7.84,501,0.03,0.501,999,4325,4.54
3,57.85,55.86,7.64,576,0.26,0.576,999,4327,5.94
3,66.2,55.84,7.89,879,1.31,0.879,999,4328,14.29
2,51.52,42.23,5.45,957,1.7,0.957,999,4330,8.61
0,0,0,0,500.5,NA,0.5005,999,4348,-24.89
2,40.44,42.03,5.6,414,-0.28,0.414,999,4349,-2.46
1,25.76,25.76,0,24,-1.71,0.024,999,4350,-8.14
1,25.76,25.76,0,24,-1.71,0.024,999,4351,-8.14
2,40.44,42.25,5.71,389,-0.32,0.389,999,4352,-2.46
0,0,0,0,500.5,NA,0.5005,999,4356,-24.89
0,0,0,0,500.5,NA,0.5005,999,4357,-24.89
1,25.76,25.76,0,188.5,-0.88,0.1885,999,4358,-8.14
3,57.85,56.5,7.8,537,0.17,0.537,999,4359,5.94
0,0,0,0,500.5,NA,0.5005,999,4360,-24.89
2,30.69,42.12,5.77,57,-1.98,0.057,999,4366,-12.21
2,26.42,42.16,5.89,4,-2.67,0.004,999,4367,-16.49
2,30.69,42.12,5.77,57,-1.98,0.057,999,4369,-12.21
2,51.52,41.96,5.63,958,1.7,0.958,999,4370,8.61
2,51.52,42.1,5.54,961,1.7,0.961,999,4371,8.61
2,51.52,42.23,5.45,957,1.7,0.957,999,4372,8.61
0,0,0,0,500.5,NA,0.5005,999,4389,-24.89
1,25.76,25.76,0,851,1,0.851,999,4391,-8.14
4,56.15,68.84,9.32,93,-1.36,0.093,999,4392,-4.77
4,56.15,68.84,9.32,93,-1.36,0.093,999,4393,-4.77
4,51.72,69.32,9.26,34,-1.9,0.034,999,4394,-9.19
2,43.16,42.29,5.69,533,0.15,0.533,999,4395,0.26
1,25.76,25.76,0,693,0.34,0.693,999,4396,-8.14
1,25.76,25.76,0,109.5,-1.09,0.1095,999,4397,-8.14
1,25.76,25.76,0,193.5,-0.74,0.1935,999,4400,-8.14
1,25.76,25.76,0,850.5,0.97,0.8505,999,4401,-8.14
0,0,0,0,500.5,NA,0.5005,999,4403,-24.89
0,0,0,0,500.5,NA,0.5005,999,4404,-24.89
2,51.52,42.34,5.55,971,1.65,0.971,999,4409,8.61
1,25.76,25.76,0,746,0.62,0.746,999,4413,-8.14
1,25.76,25.76,0,746,0.62,0.746,999,4414,-8.14
1,25.76,25.76,0,851,1,0.851,999,4433,-8.14
2,40.44,42.26,5.6,436.5,-0.32,0.4365,999,4434,-2.46
5,57.42,81.06,10.61,11,-2.23,0.011,999,4435,-12.5
3,49.31,56.57,7.71,167,-0.94,0.167,999,4436,-2.6
4,72.02,69.29,9.67,617,0.28,0.617,999,4437,11.1
5,72.74,81.14,10.13,200,-0.83,0.2,999,4438,2.82
0,0,0,0,500.5,NA,0.5005,999,4439,-24.89
13,173.23,156.52,16,864,1.04,0.864,999,4440,31.25
3,60.07,56.75,7.69,652,0.43,0.652,999,4441,8.16
